Name,Team,Annual Salary(£),Year
Wickham,Crystal Palace,3120000,2016
Azpilicueta,Chelsea FC,3120000,2016
Barry,Everton FC,3120000,2016
Salomon Rondon,West Bromwich Albion,3120000,2016
Koscielny,Arsenal FC,3120000,2016
Dann,Crystal Palace,3120000,2016
Courtois,Chelsea FC,3120000,2016
Reid,West Ham United,3120000,2016
Sako,Crystal Palace,2860000,2016
Rodriguez,Southampton FC,2860000,2016
Dembele,Tottenham Hotspur,2860000,2016
Niasse,Everton FC,2860000,2016
Lennon,Everton FC,2600000,2016
Imbula,Stoke City,2600000,2016
Kane,Tottenham Hotspur,2600000,2016
Bellerin,Arsenal FC,2600000,2016
McArthur,Crystal Palace,2600000,2016
McCarthy,Everton FC,2600000,2016
Clasie,Southampton FC,2600000,2016
Fabianski,Sheffield Wednesday,2600000,2016
Noble,West Ham United,2600000,2016
Obiang,West Ham United,2600000,2016
Jagielka,Everton FC,2600000,2016
Krul,Newcastle United,2600000,2016
Cleverley,Everton FC,2600000,2016
Moses,Chelsea FC,2600000,2016
Krkic,Stoke City,2496000,2016
Deulofeu,Everton FC,2496000,2016
Barkley,Everton FC,2496000,2016
Gibbs,Arsenal FC,2392000,2016
Perez,Newcastle United,2340000,2016
Chambers,Arsenal FC,2340000,2016
Jenkinson,Arsenal FC,2340000,2016
Drinkwater,Leicester City,2340000,2016
Can,Liverpool FC,2340000,2016
Fazio,Tottenham Hotspur,2340000,2016
Darmian,Manchester United,2340000,2016
Amrabat,Watford FC,2340000,2016
Wollscheid,Stoke City,2340000,2016
Shawcross,Stoke City,2340000,2016
Moses,Chelsea FC,2340000,2016
Fernandez,Swansea City,2236000,2016
Given,Aston Villa,2227621,2016
Zouma,Chelsea FC,2200000,2016
McGeady,Everton FC,2184000,2016
Behrami,Watford FC,2184000,2016
Moreno,Liverpool FC,2080000,2016
Ospina,Arsenal FC,2080000,2016
Valencia,West Ham United,2080000,2016
Suarez,Watford FC,2080000,2016
Bentaleb,Tottenham Hotspur,2080000,2016
Funes Mori,Everton FC,2080000,2016
de Jong,Newcastle United,2080000,2016
Benalouane,Leicester City,2080000,2016
Njie,Tottenham Hotspur,1976000,2016
Pieters,Stoke City,1976000,2016
Huth,Leicester City,1976000,2016
Coleman,Everton FC,1976000,2016
Ki,Swansea City,1872000,2016
Routledge,Swansea City,1872000,2016
Christensen,Chelsea FC,1820000,2016
Surman,AFC Bournemouth,1820000,2016
Mbemba,Newcastle United,1820000,2016
Adam,Stoke City,1820000,2016
Rivière,Newcastle United,1820000,2016
Campbell,Crystal Palace,1820000,2016
Saivet,Newcastle United,1820000,2016
Butland,Stoke City,1820000,2016
Colback,Newcastle United,1820000,2016
Cork,Swansea City,1820000,2016
Collins,Brentford FC,1820000,2016
Puncheon,Crystal Palace,1820000,2016
Trippier,Tottenham Hotspur,1820000,2016
Markovic,Liverpool FC,1820000,2016
Okazaki,Leicester City,1820000,2016
Anita,Newcastle United,1820000,2016
Zaha,Crystal Palace,1820000,2016
Gouffran,Newcastle United,1820000,2016
Capoue,Watford FC,1820000,2016
Flanagan,Liverpool FC,1716000,2016
Mato,Stoke City,1716000,2016
Muniesa,Stoke City,1716000,2016
Ireland,Stoke City,1716000,2016
Naughton,Swansea City,1664000,2016
Bardsley,Stoke City,1612000,2016
McEachran,Chelsea FC,1563229,2016
Bogdan,Liverpool FC,1560000,2016
Iwobi,Arsenal FC,1560000,2016
Kouyate,West Ham United,1560000,2016
Dawson,West Bromwich Albion,1560000,2016
Sakho,West Ham United,1560000,2016
Gardos,Southampton FC,1560000,2016
Coquelin,Arsenal FC,1560000,2016
Johnson,Stoke City,1560000,2016
Campbell,Arsenal FC,1560000,2016
Amat,Swansea City,1560000,2016
Holebas,Watford FC,1560000,2016
Souare,Crystal Palace,1560000,2016
Byram,West Ham United,1560000,2016
Francis,AFC Bournemouth,1560000,2016
Mignolet,Liverpool FC,1560000,2016
Grabban,AFC Bournemouth,1508000,2016
McManaman,West Bromwich Albion,1456000,2016
Origi,Liverpool FC,1456000,2016
Mutch,Crystal Palace,1456000,2016
Garbutt,Everton FC,1456000,2016
Yoshida,Southampton FC,1456000,2016
Elneny,Arsenal FC,1430000,2016
Besic,Everton FC,1430000,2016
Ulloa,Leicester City,1404000,2016
Clark,Aston Villa,1338441,2016
Gray,Burnley FC,1300000,2016
Zuculini,Manchester City,1300000,2016
Lee,Crystal Palace,1300000,2016
Pantilimon,Watford FC,1300000,2016
Alli,Tottenham Hotspur,1300000,2016
Paulista,Arsenal FC,1300000,2016
Gomes,Watford FC,1300000,2016
Denayer,Manchester City,1300000,2016
Ledley,Crystal Palace,1300000,2016
Walters,Stoke City,1300000,2016
Darlow,Newcastle United,1300000,2016
Pugh,AFC Bournemouth,1300000,2016
Kelly,Crystal Palace,1300000,2016
Holgate,Everton FC,1300000,2016
James,Leicester City,1300000,2016
Antonio,West Ham United,1300000,2016
Britos,Watford FC,1300000,2016
Kenedy,Chelsea FC,1300000,2016
Wisdom,Liverpool FC,1196000,2016
Galloway,Everton FC,1196000,2016
Pasalic,Chelsea FC,1196000,2016
Arfield,Burnley FC,1196000,2016
Kalas,Chelsea FC,1196000,2016
Marney,Burnley FC,1144000,2016
Tarkowski,Burnley FC,1144000,2016
Keane,Burnley FC,1144000,2016
Berghuis,Watford FC,1144000,2016
Amartey,Leicester City,1092000,2016
Ake,Chelsea FC,1042153,2016
Doucouré,Watford FC,1040000,2016
Pereira,Manchester United,1040000,2016
Wilson,AFC Bournemouth,1040000,2016
Akpom,Arsenal FC,1040000,2016
Gosling,AFC Bournemouth,1040000,2016
Boyd,Burnley FC,1040000,2016
Winks,Tottenham Hotspur,1040000,2016
Brown,Chelsea FC,1040000,2016
Wilson,Manchester United,1040000,2016
Murphy,Brighton & Hove Albion,1040000,2016
Skalak,Brighton & Hove Albion,1040000,2016
Robles,Everton FC,1040000,2016
Palmer,Chelsea FC,1040000,2016
Omeruo,Chelsea FC,1040000,2016
Baker,Chelsea FC,1040000,2016
Rosenior,Brighton & Hove Albion,1040000,2016
Haidara,Newcastle United,1040000,2016
Dummett,Newcastle United,1040000,2016
Ameobi,Newcastle United,1040000,2016
Scannell,Huddersfield Town,1040000,2016
Prodl,Watford FC,1040000,2016
Hemed,Brighton & Hove Albion,1040000,2016
Hunemeier,Brighton & Hove Albion,1040000,2016
Hennessey,Crystal Palace,1040000,2016
Sanogo,Arsenal FC,1040000,2016
Fryers,Crystal Palace,1040000,2016
Daniels,AFC Bournemouth,988000,2016
Ward,Liverpool FC,936000,2016
Gazzaniga,Southampton FC,936000,2016
Sylla,Aston Villa,892268,2016
Hector,Chelsea FC,884000,2016
Vokes,Burnley FC,884000,2016
Stewart,Liverpool FC,832000,2016
Piazón,Chelsea FC,832000,2016
Wiggins,AFC Bournemouth,832000,2016
Hoban,Watford FC,832000,2016
Mings,AFC Bournemouth,832000,2016
Stockdale,Brighton & Hove Albion,780000,2016
Henry,Brentford FC,780000,2016
Varela,Manchester United,780000,2016
Lascelles,Newcastle United,780000,2016
Bennett,Aston Villa,780000,2016
Gomez,Liverpool FC,780000,2016
Williams,Crystal Palace,780000,2016
Carlos Paredes,Watford FC,780000,2016
Bartley,Swansea City,780000,2016
Miazga,Chelsea FC,780000,2016
Hennings,Burnley FC,780000,2016
Sobrino,Manchester City,780000,2016
Tarashaj,Everton FC,780000,2016
Luna,Aston Villa,780000,2016
Afobe,AFC Bournemouth,702000,2016
Cathcart,Watford FC,676000,2016
Oulare,Watford FC,676000,2016
Gray,Leicester City,650000,2016
Smith,AFC Bournemouth,624000,2016
Hamer,Leicester City,624000,2016
Musonda,Chelsea FC,624000,2016
Good,Newcastle United,624000,2016
Ulvestad,Burnley FC,624000,2016
Reed,Southampton FC,624000,2016
Stephens,Southampton FC,624000,2016
Gallagher,Southampton FC,624000,2016
Boruc,AFC Bournemouth,520000,2016
Atsu,Chelsea FC,520000,2016
Martinez,Arsenal FC,520000,2016
Arlauskis,Watford FC,520000,2016
Haugaard,Stoke City,520000,2016
Lolley,Huddersfield Town,520000,2016
Ibe,Liverpool FC,520000,2016
Rodriguez,Everton FC,520000,2016
Grimes,Swansea City,520000,2016
Macey,Arsenal FC,520000,2016
Targett,Southampton FC,520000,2016
de Souza,Chelsea FC,520000,2016
Roberts,Manchester City,520000,2016
Ojo,Liverpool FC,520000,2016
Darikwa,Burnley FC,520000,2016
Lualua,Brighton & Hove Albion,468000,2016
O'Grady,Brighton & Hove Albion,416000,2016
Iorfa,Wolverhampton Wanderers,416000,2016
Blackman,Chelsea FC,416000,2016
Cullen,West Ham United,416000,2016
Wells,Huddersfield Town,416000,2016
Towell,Brighton & Hove Albion,416000,2016
Grujic,Liverpool FC,390000,2016
Solanke,Chelsea FC,364000,2016
Manu,Brighton & Hove Albion,364000,2016
Stanislas,AFC Bournemouth,364000,2016
Ince,Brighton & Hove Albion,364000,2016
Cuevas,Chelsea FC,312000,2016
Zelalem,Arsenal FC,312000,2016
Cook,AFC Bournemouth,312000,2016
Abraham,Chelsea FC,312000,2016
Davies,Everton FC,312000,2016
O'Keefe,Cardiff City,286000,2016
Garcia,Manchester City,260000,2016
Whitehead,Huddersfield Town,260000,2016
Arter,AFC Bournemouth,260000,2016
Toney,Newcastle United,260000,2016
Davidson,Huddersfield Town,260000,2016
Castro Pereira,Manchester United,260000,2016
Hiwula,Huddersfield Town,260000,2016
Harrop,Manchester United,260000,2016
Sheehan,Swansea City,260000,2016
Onomah,Tottenham Hotspur,260000,2016
Chalobah,Chelsea FC,260000,2016
McBurnie,Swansea City,260000,2016
Maffeo,Manchester City,260000,2016
Awoniyi,Liverpool FC,260000,2016
Adarabioyo,Manchester City,260000,2016
Long,Burnley FC,208000,2016
Walton,Brighton & Hove Albion,208000,2016
Bunn,Huddersfield Town,208000,2016
Wilson,Liverpool FC,208000,2016
Gorre,Swansea City,208000,2016
Bielik,Arsenal FC,208000,2016
Cargill,AFC Bournemouth,156000,2016
Brannagan,Liverpool FC,156000,2016
Woodman,Newcastle United,156000,2016
Souttar,Stoke City,156000,2016
Scott,Chelsea FC,156000,2016
Pennington,Everton FC,156000,2016
Burke,West Ham United,156000,2016
Kaikai,Crystal Palace,156000,2016
Lawrence,Leicester City,156000,2016
Palmer,West Bromwich Albion,104000,2016
Randall,Liverpool FC,104000,2016
Reine-Adelaide,Arsenal FC,104000,2016
Fraser,AFC Bournemouth,104000,2016
Pocognoli,West Bromwich Albion,104000,2016
Alexander-Arnold,Liverpool FC,104000,2016
Bojaj,Huddersfield Town,52000,2016
Bjordal,Brighton & Hove Albion,52000,2016
Dasilva,Brentford FC,52000,2016
Brattan,Manchester City,52000,2016
Wood,Southampton FC,41600,2016
Cornick,AFC Bournemouth,39000,2016
Agyei,Burnley FC,36400,2016
Simpson,AFC Bournemouth,31200,2016
Butcher,AFC Bournemouth,31200,2016
Rooney,Manchester United,15600000,2017
Pogba,Manchester United,15080000,2017
Hazard,Chelsea FC,11700000,2017
Aguero,Manchester City,11440000,2017
Toure,Manchester City,11440000,2017
Ibrahimovic,Manchester United,11440000,2017
De Gea,Manchester United,10400000,2017
Costa,Chelsea FC,9620000,2017
Silva,Manchester City,8320000,2017
Mata,Manchester United,8320000,2017
Fàbregas,Chelsea FC,8112000,2017
Terry,Chelsea FC,7800000,2017
De Bruyne,Manchester City,7800000,2017
Coutinho,Liverpool FC,7800000,2017
Sterling,Manchester City,7800000,2017
Nasri,Manchester City,7800000,2017
Kompany,Manchester City,7800000,2017
Ivanovic,Chelsea FC,7480000,2017
Sanchez,Arsenal FC,7280000,2017
Gundogan,Manchester City,7280000,2017
Milner,Liverpool FC,7280000,2017
Ozil,Arsenal FC,7280000,2017
Walcott,Arsenal FC,7280000,2017
da Silva,Chelsea FC,7200000,2017
Sturridge,Liverpool FC,6760000,2017
Welbeck,Arsenal FC,6500000,2017
Young,Mancherst United,6240000,2017
Benteke,Crystal Palace,6240000,2017
Luiz,Chelsea FC,6240000,2017
Mkhitaryan,Manchester United,6240000,2017
Kante,Chelsea FC,6240000,2017
Otamendi,Manchester City,6240000,2017
Courtois,Chelsea FC,6240000,2017
Hart,Manchester City,6032000,2017
Herrera,Manchester United,5980000,2017
Ramsey,Arsenal FC,5720000,2017
Martial,Mancherst United,5720000,2017
Shaw,Manchester United,5720000,2017
Rojo,Manchester United,5720000,2017
Azpilicueta,Chelsea FC,5200000,2017
Mangala,Manchester City,5200000,2017
Luis Roza,Manchester City,5200000,2017
Reges,Manchester City,5200000,2017
Cahill,Chelsea FC,5200000,2017
Kane,Tottenham Hotspur,5200000,2017
Lloris,Tottenham Hotspur,5200000,2017
Vardy,Leicester City,5200000,2017
Matip,Liverpool FC,5200000,2017
Stones,Manchester City,5200000,2017
Henderson,Liverpool FC,5200000,2017
Schneiderlin,Everton FC,5200000,2017
Rodríguez Ledesma,Chelsea FC,5200000,2017
Cech,Arsenal FC,5200000,2017
Mahrez,Leicester City,5200000,2017
Firmino,Liverpool FC,5200000,2017
Cazorla,Arsenal FC,5200000,2017
Bony,Stoke City,5200000,2017
Szczesny,Arsenal FC,5200000,2017
Nolito,Manchester City,4940000,2017
Carroll,West Ham United,4680000,2017
Drinkwater,Leicester City,4680000,2017
Wijnaldum,Liverpool FC,4680000,2017
Xhaka,Arsenal FC,4680000,2017
Wilshere,AFC Bournemouth,4680000,2017
Koscielny,Arsenal FC,4680000,2017
Sane,Manchester City,4680000,2017
Remy,Crystal Palace,4680000,2017
Alonso,Chelsea FC,4680000,2017
Batshuayi,Chelsea FC,4680000,2017
Matic,Chelsea FC,4680000,2017
Mertesacker,Arsenal FC,4680000,2017
Mane,Liverpool FC,4680000,2017
Mustafi,Arsenal FC,4680000,2017
Vertonghen,Tottenham Hotspur,4628000,2017
Rahman,Chelsea FC,4472000,2017
Cabaye,Crystal Palace,4472000,2017
Valencia,Manchester United,4420000,2017
Son,Tottenham Hotspur,4420000,2017
Sakho,Crystal Palace,4420000,2017
Fellaini,Manchester United,4420000,2017
Ayew,West Ham United,4160000,2017
Bravo,Manchester City,4160000,2017
Bailly,Manchester United,4160000,2017
Lamela,Tottenham Hotspur,4160000,2017
Delph,Manchester City,4160000,2017
Slimani,Leicester City,4160000,2017
Schmeichel,Leicester City,4160000,2017
Gabbiadini,Southampton FC,4160000,2017
Carrick,Manchester United,4160000,2017
Sissoko,Tottenham Hotspur,4160000,2017
Lukaku,Everton FC,4160000,2017
Berahino,Stoke City,4160000,2017
Alderweireld,Tottenham Hotspur,4160000,2017
Van Dijk,Southampton FC,4160000,2017
Eriksen,Tottenham Hotspur,3900000,2017
Blind,Manchester United,3900000,2017
Ings,Liverpool FC,3900000,2017
Llorente,Swansea City,3900000,2017
Jesus,Manchester City,3900000,2017
Fonte,West Ham United,3900000,2017
Leiva,Liverpool FC,3900000,2017
Debuchy,Arsenal FC,3900000,2017
Jones,Manchester United,3900000,2017
Moses,Chelsea FC,3900000,2017
Bolasie,Everton FC,3900000,2017
Williams,Everton FC,3640000,2017
Austin,Southampton FC,3640000,2017
Smalling,Manchester United,3640000,2017
Sigurdsson,Swansea City,3640000,2017
Defoe,Sheffield United,3640000,2017
Shelvey,Newcastle United,3640000,2017
Mirallas,Everton FC,3640000,2017
Walker,Tottenham Hotspur,3640000,2017
Baines,Everton FC,3640000,2017
Perez,Arsenal FC,3640000,2017
Lanzini,West Ham United,3640000,2017
Clyne,Liverpool FC,3640000,2017
Bertrand,Southampton FC,3640000,2017
Mandanda,Crystal Palace,3640000,2017
Kolarov,Manchester City,3588000,2017
Musa,Leicester City,3380000,2017
Oxlade-Chamberlain,Arsenal FC,3380000,2017
Chilwell,Leicester City,3380000,2017
Soares,Southampton FC,3380000,2017
Lovren,Liverpool FC,3380000,2017
Evans,West Bromwich Albion,3380000,2017
Diouf,Stoke City,3380000,2017
Monreal,Arsenal FC,3380000,2017
Romeu,Southampton FC,3380000,2017
Romero,Manchester United,3380000,2017
Boufal,Southampton FC,3380000,2017
Feghouli,West Ham United,3380000,2017
Deeney,Watford FC,3380000,2017
Wanyama,Tottenham Hotspur,3380000,2017
Shaqiri,Stoke City,3380000,2017
Januzaj,Manchester United,3120000,2017
Mitrovic,Newcastle United,3120000,2017
Ogbonna,West Ham United,3120000,2017
Begovic,Chelsea FC,3120000,2017
Foster,West Bromwich Albion,3120000,2017
Yacob,West Bromwich Albion,3120000,2017
Wickham,Crystal Palace,3120000,2017
Rose,Tottenham Hotspur,3120000,2017
Tadic,Southampton FC,3120000,2017
Dier,Tottenham Hotspur,3120000,2017
Coquelin,Arsenal FC,3120000,2017
Barry,Everton FC,3120000,2017
Salomon Rondon,West Bromwich Albion,3120000,2017
Chadli,West Bromwich Albion,3120000,2017
Redmond,Southampton FC,3120000,2017
Dann,Crystal Palace,3120000,2017
Long,Southampton FC,3120000,2017
Mignolet,Liverpool FC,3120000,2017
Davis,Southampton FC,3120000,2017
Morgan,Leicester City,3120000,2017
Reid,West Ham United,3120000,2017
Schlupp,Crystal Palace,2912000,2017
Townsend,Crystal Palace,2860000,2017
Sako,Crystal Palace,2860000,2017
Alli,Tottenham Hotspur,2860000,2017
Forster,Southampton FC,2860000,2017
Rodriguez,Southampton FC,2860000,2017
Milivojevic,Crystal Palace,2860000,2017
Elneny,Arsenal FC,2860000,2017
Dembele,Tottenham Hotspur,2860000,2017
