Year,Team,Position,Points,Profit(£),Age,Name,Height(cm)
2020,Southampton FC,11,52,123.1,25.9,Kayne Ramsay,179
2020,Southampton FC,11,52,123.1,25.9,Danny Ings,178
2020,Southampton FC,11,52,123.1,25.9,Moussa Djénépo,177
2020,Southampton FC,11,52,123.1,25.9,James Ward-Prowse,177
2020,Southampton FC,11,52,123.1,25.9,Will Ferry,176
2020,Southampton FC,11,52,123.1,25.9,Sofiane Boufal,175
2020,Southampton FC,11,52,123.1,25.9,Josh Sims,174
2020,Everton FC,12,49,128.2,25.5,Maarten Stekelenburg,197
2020,Everton FC,12,49,128.2,25.5,Jarrad Branthwaite,195
2020,Everton FC,12,49,128.2,25.5,Yerry Mina,195
2020,Everton FC,12,49,128.2,25.5,Isaac Price,193
2020,Everton FC,12,49,128.2,25.5, João Virgínia,192
2020,Everton FC,12,49,128.2,25.5,Ellis Simms,191
2020,Everton FC,12,49,128.2,25.5,Dominic Calvert-Lewin,189
2020,Everton FC,12,49,128.2,25.5, André Gomes,188
2020,Everton FC,12,49,128.2,25.5,Michael Keane,188
2020,Everton FC,12,49,128.2,25.5,Mason Holgate,187
2020,Everton FC,12,49,128.2,25.5,Jean-Philippe Gbamin,186
2020,Everton FC,12,49,128.2,25.5,Gylfi Sigurðsson,186
2020,Everton FC,12,49,128.2,25.5,Yannick Bolasie,185
2020,Everton FC,12,49,128.2,25.5,Jordan Pickford,185
2020,Everton FC,12,49,128.2,25.5, Richarlison,184
2020,Everton FC,12,49,128.2,25.5,Alex Iwobi,183
2020,Everton FC,12,49,128.2,25.5,Moise Kean,183
2020,Everton FC,12,49,128.2,25.5,Cenk Tosun,183
2020,Everton FC,12,49,128.2,25.5,Anthony Gordon,182
2020,Everton FC,12,49,128.2,25.5,Djibril Sidibé,182
2020,Everton FC,12,49,128.2,25.5,Muhamed Bešić,180
2020,Everton FC,12,49,128.2,25.5,Tom Davies,180
2020,Everton FC,12,49,128.2,25.5,Luke Garbutt,180
2020,Everton FC,12,49,128.2,25.5,Niels Nkounkou,180
2020,Everton FC,12,49,128.2,25.5,Beni Baningime,178
2020,Everton FC,12,49,128.2,25.5,Lucas Digne,178
2020,Everton FC,12,49,128.2,25.5,Séamus Coleman,177
2020,Everton FC,12,49,128.2,25.5,Jonjoe Kenny,176
