Year,Team,Position,Points,Profit(£),Age,Name,Annual Salary(£)
2015,West Ham United,12,47,76.3,26.8,Noble,2600000
2015,West Ham United,12,47,76.3,26.8,Valencia,2080000
2015,West Ham United,12,47,76.3,26.8,Sakho,1560000
2015,West Ham United,12,47,76.3,26.8,Burke,156000
2015,West Bromwich Albion,13,44,72.9,28.0,McManaman,1456000
2015,West Bromwich Albion,13,44,72.9,28.0,Pocognoli,104000
2015,Leicester City,14,41,71.6,27.9,Drinkwater,2340000
2015,Leicester City,14,41,71.6,27.9,Ulloa,1404000
2015,Leicester City,14,41,71.6,27.9,James,1300000
2015,Leicester City,14,41,71.6,27.9,Hamer,624000
2015,Leicester City,14,41,71.6,27.9,Lawrence,156000
2015,Newcastle United,15,39,77.8,25.9,Krul,2600000
2015,Newcastle United,15,39,77.8,25.9,de Jong,2080000
2015,Newcastle United,15,39,77.8,25.9,Rivière,1820000
2015,Newcastle United,15,39,77.8,25.9,Colback,1820000
2015,Newcastle United,15,39,77.8,25.9,Anita,1820000
2015,Newcastle United,15,39,77.8,25.9,Gouffran,1820000
2015,Newcastle United,15,39,77.8,25.9,Darlow,1300000
2015,Newcastle United,15,39,77.8,25.9,Haidara,1040000
2015,Newcastle United,15,39,77.8,25.9,Dummett,1040000
2015,Newcastle United,15,39,77.8,25.9,Lascelles,780000
2015,Newcastle United,15,39,77.8,25.9,Good,624000
2015,Newcastle United,15,39,77.8,25.9,Woodman,156000
2015,Aston Villa,17,38,68.6,26.3,Bent,3380000
2015,Aston Villa,17,38,68.6,26.3,Benteke,3120000
2015,Aston Villa,17,38,68.6,26.3,Cole,1100000
2015,Burnley FC,19,33,65.4,27.2,Keane,1144000
2015,Burnley FC,19,33,65.4,27.2,Boyd,1040000
2016,Leicester City,1,81,93.2,27.7,Vardy,5200000
2016,Leicester City,1,81,93.2,27.7,Drinkwater,2340000
2016,Leicester City,1,81,93.2,27.7,Benalouane,2080000
2016,Leicester City,1,81,93.2,27.7,Huth,1976000
2016,Leicester City,1,81,93.2,27.7,Okazaki,1820000
2016,Leicester City,1,81,93.2,27.7,Ulloa,1404000
2016,Leicester City,1,81,93.2,27.7,James,1300000
2016,Leicester City,1,81,93.2,27.7,Amartey,1092000
2016,Leicester City,1,81,93.2,27.7,Gray,650000
2016,Leicester City,1,81,93.2,27.7,Hamer,624000
2016,Leicester City,1,81,93.2,27.7,Lawrence,156000
2016,Arsenal FC,2,71,101.0,27.0,Sanchez,7280000
2016,Arsenal FC,2,71,101.0,27.0,Ozil,7280000
2016,Arsenal FC,2,71,101.0,27.0,Walcott,7280000
2016,Arsenal FC,2,71,101.0,27.0,Welbeck,6500000
